BRITANICII,,D MOLAN,21,,1,,Etapa a 9-a,echipa,puncte,,,FC MUMU LU' TALPANU',,L MOLAN,20,,3,,Etapa a 9-a,echipa,puncte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Restante,Restante
PORTARI,,,,,,,Arsenal,ARS,,1,,PORTARI,,,,,,,LIVERPOOL,LIV,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ARSENAL,ARS,1,,Du,,Bogle,LEE,0,,,1,LIVERPOOL,LIV,3,,Sa,,Munoz,CP,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,GETAFE,GET,1,,Du,,Kehrer,MON,0,,,2,SOCIEDAD,SOC,1,,Sa,,E Garcia,BAR,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FUNDASI,,,,,#N/A,,Krejci,WLV,0,,,FUNDASI,,,,,#N/A,,J Tah,BM,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Gosens,FIO,0,,Sa,,Tillman,BL,1,,,3,Munoz,CP,2,,Sa,,Clauss,NIC,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Struijk,LEE,0,,Du,,Flemming,BUR,0,,,4,Abdi,NIC,0,,Vi,,Schade,BRN,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Bogle,LEE,0,,Du,,Wirtz,LIV,0,,,5,E Garcia,BAR,0,,Sa,,Murphy,NEW,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Krejci,WLV,0,,Sa,,Stage,WB,0,,,6,Clauss,NIC,0,,Vi,,Pulisic,MIL,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Kehrer,MON,0,,Sa,,Delap,CHE,0,,,7,J Tah,BM,0,,Sa,,Watkins,AV,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIJLOCASI,,,,,#N/A,,Woltemade,NEW,0,,,MIJLOCASI,,,,,#N/A,,Salah,LIV,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Wirtz,LIV,0,,Sa,,J David,JUV,0,,,8,Pulisic,MIL,1,,Du,,Biereth,MON,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Tillman,BL,1,,Sa,PUNCTE,20,scor,1,1,,9,Mitoma,BRI,0,,Sa,PUNCTE,17,scor,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,A Toure,LH,0,,Sa,,formula,343,,,,10,Schade,BRN,0,,Sa,,formula,433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,D James,LEE,0,,Du,,,,,,,11,Kudus,TOT,0,,Du,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Stage,WB,0,,Du,,,,,,,12,Rabiot,MIL,0,,Du,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Soler,SOC,0,,Sa,,,,,,,13,Musiala,BM,0,,Sa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Flemming,BUR,0,,Sa,,,,,,,14,Murphy,NEW,0,,Sa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATACANTI,,,,,#N/A,,,,,,,ATACANTI,,,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Raphinia,BAR,0,,Sa,,,,,,,15,Salah,LIV,0,,Sa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,J David,JUV,0,,Sa,,,,,,,16,Watkins,AV,0,,Du,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
