TUNETUL FC,,A ISPAS,6,,3,,Etapa a 4-a,echipa,puncte,,,BOBA JUNIORS,,S BOBEICA,7,,1,,Etapa a 4-a,echipa,puncte,
6,Clauss,NIC,0,,,,Karabec,LYO,0,,,6,Peprah Oppong,NIC,0,,,,Thielmann,KOL,0,
7,Vivian,BIL,0,,,,Balogun,MON,0,,,7,M Alonso,CEL,0,,,,Panichelli,STR,2,
MIJLOCASI,,,,,,,H Kane,BM,1,,,MIJLOCASI,,,,,,,Hojlund,NAP,1,
8,Doan,FRA,0,,,,Orsolini,BOL,1,,,8,Olise,BM,0,,,,Mikautadze,VIL,1,
9,McTomminay,NAP,0,,,PUNCTE,9,scor,3,4,,9,Sancet,BIL,0,,,PUNCTE,2,scor,4,2
10,Amiri,MAI,0,,, ,formula,343,,,,10,Haraldsson,LIL,0,,,,formula,343,,
11,Arrambari,GET,0,,,,,,,,,11,J Neves,PSG,0,,,,,,,
12,Rabiot,MIL,0,,,,,,,,,12,Pedri,BAR,0,,,,,,,
13,Karabec,LYO,0,,,,,,,,,13,Zhegrova,JUV,0,,,,,,,
14,Baumgartner,LPZ,1,,,,,,,,,14,Thielmann,KOL,0,,,,,,,
ATACANTI,,,,,,,,,,,,ATACANTI,,,,,,,,,,
15,H Kane,BM,1,,,,,,,,,15,Raphinia,BAR,0,,,,,,,
16,Schick,BL,0,,,,,,,,,16,Soule,ROM,1,,,,,,,
17,Orsolini,BOL,1,,,,,,,,,17,Mikautadze,VIL,1,,,,,,,
18,B Johnson,TOT,0,,,,,,,,,18,Hojlund,NAP,1,,,,,,,
19,Balogun,MON,0,,,,,,,,,19,Panichelli,STR,2,,,,,,,
20,Bulter,KOL,0,,,,,,,,,20,Vardy,CRE,0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
MIGHTY MELONS,,N BADESCU,6,,0,,Etapa a 4-a,echipa,puncte,,,FC COJASCA ,,V PARCALABU,9,,3,,Etapa a 4-a,echipa,puncte,
PORTARI,,,,,,,BILBAO,BIL,,1,,PORTARI,,,,,,,MARSEILLE,OM,,0
1,BILBAO,BIL,1,,,,Dumfries,INT,0,,,1,ATLETICO M,AM,1,,,,Grimaldo,BL,0,
2,FIORENTINA,FIO,2,,,,VV Dijk,LIV,0,,,2,MARSEILLE,OM,0,,,,De Cuyper,BRI,0,
FUNDASI,,,,,,,Schlotterbeck,DOR,0,,,FUNDASI,,,,,,,Guerreiro,BM,0,
3,Dumfries,INT,0,,,,Pulisic,MIL,0,,,3,Grimaldo,BL,0,,,,Schade,BRN,0,
4,VV Dijk,LIV,0,,,,Tillman,BL,0,,,4,De Cuyper,BRI,0,,,,Brandt,DOR,0,
