BRITANICII,,D MOLAN,19,,3,,Etapa a 7-a,echipa,puncte,,,FC MUMU LU' TALPANU',,L MOLAN,16,,3,,Etapa a 7-a,echipa,puncte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Restante,Restante
MIJLOCASI,,,,,#N/A,,Giroud,LIL,0,,,MIJLOCASI,,,,,#N/A,,I Thiago,BRN,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Bellingham,RM,1,,Sa,,Mateta,CP,1,,,8,Nebel,MAI,0,,Sa,,Orsolini,BOL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Reijnders,MC,0,,Du,PUNCTE,6,scor,3,0,,9,Lo Celso,BET,0,,Du,PUNCTE,16,scor,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,O'Rilley,OM,0,,Sa,,formula,343,,,,10,Brandt,DOR,0,,Vi,,formula,343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Gibbs-White,NOT,1,,Sa,,,,,,,11,Pedri,BAR,0,,Du,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Cristante,ROM,0,,Du,,,,,,,12,Goretzka,BM,0,,Sa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Kimmich,BM,0,,Sa,,,,,,,13,B Silva,MC,0,,Du,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Joelinton,NEW,0,,Du,,,,,,,14,F Ruiz,PSG,0,,Sa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATACANTI,,,,,#N/A,,,,,,,ATACANTI,,,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Yamal,BAR,1,,Du,,,,,,,15,Lewandowski,BAR,0,,Du,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Giroud,LIL,0,,Du,,,,,,,16,Budimir,OSA,0,,Lu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Mateta,CP,1,,Sa,,,,,,,17,Orsolini,BOL,0,,Du,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Berardi,SAS,1,,Lu,,,,,,,18,F Torres,BAR,1,,Du,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Kolo Muani,TOT,0,,Sa,,,,,,,19,Semenyo,BOU,0,,Du,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Solanke,TOT,0,,Sa,,,,,,,20,I Thiago,BRN,0,,Sa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUBIN KAZAN,,R HOFBAUER,14,,3,,Etapa a 7-a,echipa,puncte,,,RAPID,,I FOCSANEANU,15,,3,,Etapa a 7-a,echipa,puncte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
