TUNETUL FC,,A ISPAS,0,,0,,Etapa a 2-a,echipa,puncte,,,BOBA JUNIORS,,S BOBEICA,6,,3,,Etapa a 2-a,echipa,puncte,,,,,,,,,
PORTARI,,,,,,,MAN C,MC,,1,,PORTARI,,,,,,,LIVERPOOL,LIV,,1,,,,,,,,
1,MAN C,MC,1,,,,Bastoni,INT,0,,,1,PARIS SG,PSG,1,,,,Gvardiol,MC,0,,,,,,,,,
2,FC KOLN,KOL,3,,,,Gabriel,ARS,0,,,2,LIVERPOOL,LIV,1,,,,Dier,MON,0,,,,,,,,,
FUNDASI,,,,,,,Timber,ARS,0,,,FUNDASI,,,,,,,N Mendes,PSG,0,,,,,,,,,
3,Bastoni,INT,0,,,,Fermin L,BAR,0,,,3,Gvardiol,MC,0,,,,Akliouche,MON,0,,,,,,,,,
4,Timber,ARS,0,,,,Tavernier,BOU,0,,,4,Kristensen,FRA,0,,,,Reijnders,MC,0,,,,,,,,,
5,Gabriel,ARS,0,,,,D Rice,ARS,0,,,5,Schlotterbeck,AUG,0,,,,Milner,BRI,0,,,,,,,,,
6,Chalobah,CHE,2,,,,Caicedo,CHE,0,,,6,Dier,MON,0,,,,Jobe Bellingham,DOR,0,,,,,,,,,
7,Cash,AV,2,,,,J David,JUV,0,,,7,N Mendes,PSG,0,,,,Burkardt,FRA,1,,,,,,,,,
MIJLOCASI,,,,,,,I Sarr,CP,0,,,MIJLOCASI,,,,,,,Barcola,PSG,0,,,,,,,,,
8,Anguissa,NAP,0,,,,Kvaratschelia,PSG,0,,,8,Reijnders,MC,0,,,,Romulo,LPZ,1,,,,,,,,,
9,F Nmecha,DOR,0,,,PUNCTE,0,scor,0,1,,9,Akliouche,MON,0,,,PUNCTE,3,,2,1,,,,,,,,
10,Uche,CP,0,,,,formula,343,,,,10,A Santos,CHE,0,,,,formula,343,,,,,,,,,,
11,Fermin L,BAR,0,,,,,,,,,11,Jobe Bellingham,DOR,0,,,,,,,,,,,,,,,
12,D Rice,ARS,0,,,,,,,,,12,Honorat,MNG,0,,,,,,,,,,,,,,,
13,Caicedo,CHE,0,,,,,,,,,13,H Traore,OM,0,,,,,,,,,,,,,,,
14,Tavernier,BOU,0,,,,,,,,,14,Milner,BRI,0,,,,,,,,,,,,,,,
ATACANTI,,,,,,,,,,,,ATACANTI,,,,,,,,,,,,,,,,,,
15,J David,JUV,0,,,,,,,,,15,Gyokeres,ARS,0,,,,,,,,,,,,,,,
16,Saka,ARS,0,,,,,,,,,16,Burkardt,FRA,1,,,,,,,,,,,,,,,
17,Kramaric,HOF,0,,,,,,,,,17,Barcola,PSG,0,,,,,,,,,,,,,,,
18,I Sarr,CP,0,,,,,,,,,18,A Perez,VIL,0,,,,,,,,,,,,,,,
19,Ndiaye,EVE,0,,,,,,,,,19,Romulo,LPZ,1,,,,,,,,,,,,,,,9/22/2025
20,Kvaratschelia,PSG,0,,,,,,,,,20,Dovbyk,ROM,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCEI MAI BUNI,,A RADULESCU,2,,1,,Etapa a 2-a,echipa,puncte,,,FLAKERS UTD,,M CRACIUN,4,,3,,Etapa a 2-a,echipa,puncte,,,,,,,,,
PORTARI,,,,,,,BAYERN M,BM,,1,,PORTARI,,,,,,,JUVENTUS,JUV,,1,,,,,,,,
1,BAYERN M,BM,1,,,,Del Prato,PAR,0,,,1,JUVENTUS,JUV,1,,,,Dimarco,INT,2,,,,,,,,,
2,GETAFE,GET,3,,,,Calafiori,ARS,0,,,2,BOLOGNA,BOL,1,,,,Zortea,BOL,0,,,,,,,,,
FUNDASI,,,,,,,F Doucoure,LH,0,,,FUNDASI,,,,,,,Lacroix,CP,0,,,,,,,,,
3,F Doucoure,LH,0,,,,Olmo,BAR,1,,,3,Dimarco,INT,2,,,,Grealish,EVE,0,,,,,,,,,
4,Yoro,MU,0,,,,Zaccagni,LAZ,0,,,4,Zortea,BOL,0,,,,Palazon,VLC,0,,,,,,,,,
5,Calafiori,ARS,0,,,,Sulk,LYO,0,,,5,Koch,FRA,0,,,,Eze,ARS,0,,,,,,,,,
6,Bertola,UDI,0,,,,Komur,AUG,0,,,6,Lacroix,CP,0,,,,Kebbal,PRS,0,,,,,,,,,
7,Del Prato,PAR,0,,,,Evanilson,BOU,0,,,7,Di Lorenzo,NAP,0,,,,Salah,LIV,0,,,,,,,,,
MIJLOCASI,,,,,,,J Pedro,CHE,0,,,MIJLOCASI,,,,,,,Greenwood,OM,0,,,,,,,,,
8,Olmo,BAR,1,,,,Vinicius Jr,RM,0,,,8,Eze,ARS,0,,,,Woltemade,NEW,0,,,,,,,,,
9,Zaccagni,LAZ,0,,,PUNCTE,1,scor,1,1,,9,Bellingham,RM,0,,,PUNCTE,1,scor,2,1,,,,,,,,
10,Sulk,LYO,0,,,,formula,343,,,,10,Grealish,EVE,0,,,,formula,343,,,,,,,,,,
11,Odegaard,ARS,0,,,,,,,,,11,Kebbal,PRS,0,,,,,,,,,,,,,,,
12,El Aynaoui,ROM,0,,,,,,,,,12,O Bobb,MC,0,,,,,,,,,,,,,,,
13,Komur,AUG,0,,,,,,,,,13,Joelinton,NEW,0,,,,,,,,,,,,,,,
14,Collocolo,CRE,0,,,,,,,,,14,Palazon,VLC,0,,,,,,,,,,,,,,,
ATACANTI,,,,,,,,,,,,ATACANTI,,,,,,,,,,,,,,,,,,
15,J Pedro,CHE,0,,,,,,,,,15,Salah,LIV,0,,,,,,,,,,,,,,,
16,Vinicius Jr,RM,0,,,,,,,,,16,Greenwood,OM,0,,,,,,,,,,,,,,,
17,N Williams,BIL,0,,,,,,,,,17,Woltemade,NEW,0,,,,,,,,,,,,,,,
18,Lookman,ATA,0,,,,,,,,,18,Berardi,SAS,0,,,,,,,,,,,,,,,
19,Evanilson,BOU,0,,,,,,,,,19,Puado,ESP,0,,,,,,,,,,,,,,,
20,Ilic,UB,0,,,,,,,,,20,H Duro,VAL,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FC TORPILA BUCURESTI,,R ENACHESCU,6,,3,,Etapa a 2-a,echipa,puncte,,,FC WIN MASTER,,B GHEORGHE,2,,1,,Etapa a 2-a,echipa,0,,,,,,,,,
PORTARI,,,,,,,BARCELONA,BAR,,0,,PORTARI,,,,,,,LYON,LYO,,0,,,,,,,,
1,BARCELONA,BAR,0,,,,Kubler,FRE,0,,,1,LYON,LYO,0,,,,Orban,LPZ,0,,,,,,,,,
2,UDINESE,UDI,3,,,,Vivian,BIL,0,,,2,GENOA,GEN,2,,,,Diakite,BOU,0,,,,,,,,,
FUNDASI,,,,,,,Clauss,NIC,0,,,FUNDASI,,,,,,,Guehi,CP,0,,,,,,,,,
3,Kubler,FRE,0,,,,Doan,FRA,0,,,3,Orban,LPZ,0,,,,Olise,BM,0,,,,,,,,,
