TUNETUL FC,,A ISPAS,34,,3,,Etapa a 21-a,echipa,puncte,,,BOBA JUNIORS,,S BOBEICA,40,,3,,Etapa a 21-a,echipa,puncte,,,,,,,,,
PORTARI,,,,,,,MAN CITY,MC,,0,,PORTARI,,,,,,,PARIS SG,PSG,,0,,,,,,,,
1,MAN CITY,MC,0,,Sa,,Chalobah,CHE,0,,,1,PARIS SG,PSG,0,,Sa,,N Mendes,PSG,0,,,,,,,,,
2,FC KOLN,KOL,2,,Vi,,Gabriel,ARS,0,,,2,LIVERPOOL,LIV,2,,Sa,,Schlotterbeck,AUG,0,,,,,,,,,
FUNDASI,,,,,#N/A,,Timber,ARS,2,,,FUNDASI,,,,,#N/A,,Freeman,VIL,0,,,,,,,,,
3,Bastoni,INT,0,,Sa,,D Rice,ARS,0,,,3,Freeman,VIL,0,,Sa,,Akliouche,MON,0,,,,,,,,,
4,Timber,ARS,2,,Du,,Anguissa,NAP,0,,,4,Kristensen,FRA,0,,Du,,Reijnders,MC,0,,,,,,,,,
5,Gabriel,ARS,0,,Du,,Fermin L,BAR,0,,,5,Schlotterbeck,AUG,0,,Vi,,Honorat,KOL,0,,,,,,,,,
6,Chalobah,CHE,0,,Du,,Caicedo,CHE,0,,,6,Dier,MON,0,,Sa,,Honorat,MNG,0,,,,,,,,,
7,Cash,AV,0,,Vi,,I Sarr,CP,0,,,7,N Mendes,PSG,0,,Sa,,Burkardt,FRA,0,,,,,,,,,
MIJLOCASI,,,,,#N/A,,Saka,ARS,0,,,MIJLOCASI,,,,,#N/A,,Romulo,LPZ,1,,,,,,,,,
8,Anguissa,NAP,0,,Sa,,Trossard,ARS,0,,,8,Reijnders,MC,0,,Sa,,Barcola,PSG,1,,,,,,,,,
9,F Nmecha,DOR,0,,Sa,PUNCTE,31,scor,2,0,,9,Akliouche,MON,0,,Sa,PUNCTE,37,,2,0,,,,,,,,
10,Uche,CP,0,,Du,,formula,343,,,,10,A Santos,CHE,0,,Du,,formula,343,,,,,,,,,,
11,Fermin L,BAR,0,,Sa,,,,,,,11,Jobe Bellingham,DOR,0,,Sa,,,,,,,,,,,,,
12,D Rice,ARS,0,,Du,,,,,,,12,Honorat,MNG,0,,Sa,,,,,,,,,,,,,
13,Caicedo,CHE,0,,Du,,,,,,,13,H Traore,OM,0,,Du,,,,,,,,,,,,,
14,Tavernier,BOU,0,,Sa,,,,,,,14,El Mala,KOL,0,,Vi,,,,,,,,,,,,,
ATACANTI,,,,,#N/A,,,,,,,ATACANTI,,,,,#N/A,,,,,,,,,,,,,
15,Trossard,ARS,0,,Du,,,,,,,15,Gyokeres,ARS,0,,Du,,,,,,,,,,,,,
16,Saka,ARS,0,,Du,,,,,,,16,Burkardt,FRA,0,,Du,,,,,,,,,,,,,
17,Kramaric,HOF,0,,Sa,,,,,,,17,Barcola,PSG,1,,Sa,,,,,,,,,,,,,
18,I Sarr,CP,0,,Du,,,,,,,18,A Perez,VIL,0,,Sa,,,,,,,,,,,,,
19,Undav,STU,1,,Du,,,,,,,19,Romulo,LPZ,1,,Du,,,,,,,,,,,,,
20,Kvaratschelia,PSG,0,,Sa,,,,,,,20,Wahi,NIC,0,,Du,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCEI MAI BUNI,,A RADULESCU,41,,0,,Etapa a 21-a,echipa,puncte,,,FLAKERS UTD,,M CRACIUN,42,,3,,Etapa a 21-a,echipa,puncte,,,,,,,,,
PORTARI,,,,,,,BAYERN M,BM,,2,,PORTARI,,,,,,,BOLOGNA,JUV,,0,,,,,,,,
1,BAYERN M,BM,2,,Sa,,Del Prato,PAR,0,,,1,JUVENTUS,JUV,3,,Du,,Dimarco,INT,2,,,,,,,,,
2,GETAFE,GET,0,,Lu,,Calafiori,ARS,0,,,2,BOLOGNA,BOL,0,,Lu,,Lacroix,CRY,2,,,,,,,,,
FUNDASI,,,,,#N/A,,F Doucoure,LH,0,,,FUNDASI,,,,,#N/A,,Koch,FRA,0,,,,,,,,,
3,F Doucoure,LH,0,,Sa,,Olmo,BAR,0,,,3,Dimarco,INT,2,,Sa,,D Luiz,AV,0,,,,,,,,,
4,Yoro,MU,0,,Du,,Zaccagni,LAZ,0,,,4,Zortea,BOL,0,,Lu,,Palazon,VLC,0,,,,,,,,,
5,Calafiori,ARS,0,,Du,,Sulc,LYO,0,,,5,Koch,FRA,0,,Du,,Eze,ARS,0,,,,,,,,,
6,Bertola,UDI,0,,Lu,,Komur,AUG,0,,,6,Lacroix,CP,2,,Du,,Kebbal,PRS,0,,,,,,,,,
7,Del Prato,PAR,0,,Vi,,Evanilson,BOU,1,,,7,Di Lorenzo,NAP,0,,Sa,,Salah,LIV,0,,,,,,,,,
MIJLOCASI,,,,,#N/A,,J Pedro,CHE,0,,,MIJLOCASI,,,,,#N/A,,Greenwood,OM,0,,,,,,,,,
8,Olmo,BAR,0,,Sa,,Vinicius Jr,RM,0,,,8,Eze,ARS,0,,Du,,H Duro,VAL,0,,,,,,,,,
9,Zaccagni,LAZ,0,,Du,PUNCTE,41,scor,1,2,,9,Bellingham,RM,0,,Lu,PUNCTE,39,scor,4,0,,,,,,,,
10,Sulc,LYO,0,,Du,,formula,343,,,,10,D Luiz,AV,0,,Vi,,formula,343,,,,,,,,,,
11,Odegaard,ARS,0,,Du,,,,,,,11,Kebbal,PRS,0,,Du,,,,,,,,,,,,,
12,El Aynaoui,ROM,0,,Du,,,,,,,12,O Bobb,FUL,0,,Du,,,,,,,,,,,,,
13,Komur,AUG,0,,Vi,,,,,,,13,Joelinton,NEW,0,,Sa,,,,,,,,,,,,,
14,Doumbia,BRE,0,,Du,,,,,,,14,Palazon,VLC,0,,Sa,,,,,,,,,,,,,
ATACANTI,,,,,#N/A,,,,,,,ATACANTI,,,,,#N/A,,,,,,,,,,,,,
15,J Pedro,CHE,0,,Du,,,,,,,15,Salah,LIV,0,,Sa,,,,,,,,,,,,,
16,Vinicius Jr,RM,0,,Lu,,,,,,,16,Greenwood,OM,0,,Du,,,,,,,,,,,,,
17,N Williams,BIL,0,,Sa,,,,,,,17,Woltemade,NEW,0,,Sa,,,,,,,,,,,,,
18,Lookman,AM,0,,Sa,,,,,,,18,Gakpo,LIV,1,,Sa,,,,,,,,,,,,,
19,Evanilson,BOU,1,,Sa,,,,,,,19,G Moreno,VIL,0,,Sa,,,,,,,,,,,,,
20,Tabakovic,MNG,0,,Sa,,,,,,,20,H Duro,VAL,0,,Du,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FC TORPILA BUCURESTI,,R ENACHESCU,54,,3,,Etapa a 21-a,echipa,puncte,,,FC WIN MASTER,,B GHEORGHE,33,,3,,Etapa a 21-a,echipa,0,,,,,,,,,
PORTARI,,,,,,,Barcelona,BAR,,1,,PORTARI,,,,,,,LYON,LYO,,3,,,,,,,,
1,BARCELONA,BAR,1,,Sa,,Bogle,LEE,0,,,1,LYON,LYO,3,,Du,,Orban,LPZ,0,,,,,,,,,
2,UDINESE,UDI,0,,Lu,,Clauss,NIC,0,,,2,GENOA,GEN,2,,Sa,,M Alonso,CEL,0,,,,,,,,,
FUNDASI,,,,,#N/A,,Vivian,BIL,0,,,FUNDASI,,,,,#N/A,,Guehi,CP,0,,,,,,,,,
3,Kubler,FRE,0,,Du,,Amiri,MAI,0,,,3,Orban,LPZ,0,,Du,,Olise,BM,0,,,,,,,,,
4,Bogle,LEE,0,,Sa,,Nwaneri,OM,0,,,4,Diakite,BOU,0,,Sa,,I Kone,SAS,1,,,,,,,,,
5,Ruibal,BET,0,,Du,,Baumgartner,LPZ,0,,,5,Guehi,MC,0,,Sa,,Haraldsson,LIL,0,,,,,,,,,
6,Clauss,NIC,0,,Du,,Rabiot,MIL,0,,,6,Peprah Oppong,NIC,0,,Du,,Pedri,BAR,0,,,,,,,,,
7,Vivian,BIL,0,,Sa,,Schick,BL,0,,,7,M Alonso,CEL,0,,Du,,Panichelli,STR,1,,,,,,,,,
MIJLOCASI,,,,,#N/A,,H Kane,BM,2,,,MIJLOCASI,,,,,#N/A,,Hojlund,NAP,1,,,,,,,,,
8,Nwaneri,OM,0,,Du,,Balogun,MON,1,,,8,Olise,BM,0,,Sa,,Douvikas,COM,1,,,,,,,,,
9,McTomminay,NAP,0,,Sa,PUNCTE,51,scor,3,1,,9,Sancet,BIL,0,,Sa,PUNCTE,30,scor,4,3,,,,,,,,
10,Amiri,MAI,0,,Sa, ,formula,343,,,,10,Haraldsson,LIL,0,,Du,,formula,343,,,,,,,,,,
11,Arrambari,GET,0,,Lu,,,,,,,11,I Kone,SAS,1,,Du,,,,,,,,,,,,,
12,Rabiot,MIL,0,,Du,,,,,,,12,Pedri,BAR,0,,Sa,,,,,,,,,,,,,
