TUNETUL FC,,A ISPAS,21,,3,,Etapa a 12-a,echipa,puncte,,,BOBA JUNIORS,,S BOBEICA,19,,0,,Etapa a 12-a,echipa,puncte,,,,,,,,,
PORTARI,,,,,,,MAN CITY,MC,,0,,PORTARI,,,,,,,Paris SG,PSG,,2,,,,,,,,
1,MAN CITY,MC,0,,Du,,Chalobah,CHE,0,,,1,PARIS SG,PSG,2,,Sa,,Gvardiol,MC,0,,,,,,,,,
2,FC KOLN,KOL,2,,Sa,,Bastoni,INT,0,,,2,LIVERPOOL,LIV,0,,Sa,,N Mendes,PSG,0,,,,,,,,,
FUNDASI,,,,,#N/A,,Timber,ARS,0,,,FUNDASI,,,,,#N/A,,Schlotterbeck,AUG,0,,,,,,,,,
3,Bastoni,INT,0,,Du,,F Nmecha,DOR,0,,,3,Gvardiol,MC,0,,Du,,Akliouche,MON,0,,,,,,,,,
4,Timber,ARS,0,,Sa,,Tavernier,BOU,1,,,4,Kristensen,FRA,0,,Sa,,Reijnders,MC,0,,,,,,,,,
5,Gabriel,ARS,0,,Sa,,Uche,CP,0,,,5,Schlotterbeck,AUG,0,,Sa,,Jobe Bellingham,DOR,0,,,,,,,,,
6,Chalobah,CHE,0,,Sa,,Caicedo,CHE,0,,,6,Dier,MON,0,,Du,,A Santos,CHE,0,,,,,,,,,
7,Cash,AV,0,,Du,,Kramaric,HOF,0,,,7,N Mendes,PSG,0,,Sa,,Gyokeres,ARS,0,,,,,,,,,
MIJLOCASI,,,,,#N/A,,Saka,ARS,0,,,MIJLOCASI,,,,,#N/A,,A Perez,LPZ,0,,,,,,,,,
8,Anguissa,NAP,0,,Du,,Kvaratschelia,PSG,0,,,8,Reijnders,MC,0,,Du,,Barcola,VIL,0,,,,,,,,,
9,F Nmecha,DOR,0,,Du,PUNCTE,18,scor,1,0,,9,Akliouche,MON,0,,Du,PUNCTE,19,,0,2,,,,,,,,
10,Uche,CP,0,,Du,,formula,343,,,,10,A Santos,CHE,0,,Sa,,formula,343,,,,,,,,,,
11,Fermin L,BAR,0,,Sa,,,,,,,11,Jobe Bellingham,DOR,0,,Du,,,,,,,,,,,,,
12,D Rice,ARS,0,,Sa,,,,,,,12,Honorat,MNG,0,,Sa,,,,,,,,,,,,,
13,Caicedo,CHE,0,,Sa,,,,,,,13,H Traore,OM,0,,Du,,,,,,,,,,,,,
14,Tavernier,BOU,1,,Lu,,,,,,,14,Milner,BRI,0,,Sa,,,,,,,,,,,,,
ATACANTI,,,,,#N/A,,,,,,,ATACANTI,,,,,#N/A,,,,,,,,,,,,,
15,J David,JUV,0,,Du,,,,,,,15,Gyokeres,ARS,0,,Sa,,,,,,,,,,,,,
16,Saka,ARS,0,,Sa,,,,,,,16,Burkardt,FRA,0,,Sa,,,,,,,,,,,,,
17,Kramaric,HOF,0,,Sa,,,,,,,17,Barcola,PSG,0,,Sa,,,,,,,,,,,,,
18,I Sarr,CP,0,,Du,,,,,,,18,A Perez,VIL,0,,Du,,,,,,,,,,,,,
19,Ndiaye,EVE,0,,Sa,,,,,,,19,Romulo,LPZ,0,,Vi,,,,,,,,,,,,,
20,Kvaratschelia,PSG,0,,Sa,,,,,,,20,Dovbyk,ROM,0,,Lu,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCEI MAI BUNI,,A RADULESCU,23,,1,,Etapa a 12-a,echipa,puncte,,,FLAKERS UTD,,M CRACIUN,26,,1,,Etapa a 12-a,echipa,puncte,,,,,,,,,
PORTARI,,,,,,,BAYERN M,BM,,2,,PORTARI,,,,,,,JUVENTUS,JUV,,0,,,,,,,,
1,BAYERN M,BM,2,,Du,,Del Prato,PAR,0,,,1,JUVENTUS,JUV,0,,Du,,Dimarco,INT,0,,,,,,,,,
2,GETAFE,GET,1,,Sa,,Calafiori,ARS,0,,,2,BOLOGNA,BOL,1,,Du,,Lacroix,CRY,0,,,,,,,,,
FUNDASI,,,,,#N/A,,F Doucoure,LH,0,,,FUNDASI,,,,,#N/A,,Koch,FRA,0,,,,,,,,,
3,F Doucoure,LH,0,,Du,,Olmo,BAR,0,,,3,Dimarco,INT,0,,Du,,Bellingham,RM,0,,,,,,,,,
4,Yoro,MU,0,,Lu,,Zaccagni,LAZ,0,,,4,Zortea,BOL,0,,Du,,Palazon,VLC,0,,,,,,,,,
5,Calafiori,ARS,0,,Sa,,Sulc,LYO,1,,,5,Koch,FRA,0,,Sa,,Eze,ARS,0,,,,,,,,,
6,Bertola,UDI,0,,Du,,Komur,AUG,0,,,6,Lacroix,CP,0,,Du,,Kebbal,PRS,0,,,,,,,,,
7,Del Prato,PAR,0,,Sa,,Evanilson,BOU,1,,,7,Di Lorenzo,NAP,0,,Du,,H Duro,VAL,0,,,,,,,,,
MIJLOCASI,,,,,#N/A,,J Pedro,CHE,0,,,MIJLOCASI,,,,,#N/A,,Greenwood,OM,1,,,,,,,,,
8,Olmo,BAR,0,,Sa,,Vinicius Jr,RM,0,,,8,Eze,ARS,0,,Sa,,Woltemade,NEW,0,1,,,,,,,,
9,Zaccagni,LAZ,0,,Sa,PUNCTE,22,scor,2,2,,9,Bellingham,RM,0,,Du,PUNCTE,25,scor,1,1,,,,,,,,
10,Sulc,LYO,1,,Du,,formula,343,,,,10,Grealish,EVE,0,,Sa,,formula,343,,,,,,,,,,
11,Odegaard,ARS,0,,Sa,,,,,,,11,Kebbal,PRS,0,,Sa,,,,,,,,,,,,,
12,El Aynaoui,ROM,0,,Lu,,,,,,,12,O Bobb,MC,0,,Du,,,,,,,,,,,,,
13,Komur,AUG,0,,Sa,,,,,,,13,Joelinton,NEW,0,,Du,,,,,,,,,,,,,
14,Collocolo,CRE,0,,Sa,,,,,,,14,Palazon,VLC,0,,Lu,,,,,,,,,,,,,
ATACANTI,,,,,#N/A,,,,,,,ATACANTI,,,,,#N/A,,,,,,,,,,,,,
15,J Pedro,CHE,0,,Sa,,,,,,,15,Salah,LIV,0,,Sa,,,,,,,,,,,,,
16,Vinicius Jr,RM,0,,Du,,,,,,,16,Greenwood,OM,1,,Du,,,,,,,,,,,,,
17,N Williams,BIL,0,,Du,,,,,,,17,Woltemade,NEW,0,1,Du,,,,,,,,,,,,,
18,Lookman,ATA,0,,Sa,,,,,,,18,Berardi,SAS,0,,Du,,,,,,,,,,,,,
19,Evanilson,BOU,1,,Lu,,,,,,,19,Puado,ESP,0,,Sa,,,,,,,,,,,,,
20,Ilic,UB,0,,Vi,,,,,,,20,H Duro,VAL,0,,Sa,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FC TORPILA BUCURESTI,,R ENACHESCU,30,,3,,Etapa a 12-a,echipa,puncte,,,FC WIN MASTER,,B GHEORGHE,17,,3,,Etapa a 12-a,echipa,0,,,,,,,,,
PORTARI,,,,,,,Barcelona,BAR,,0,,PORTARI,,,,,,,LYON,LYO,,0,,,,,,,,
1,BARCELONA,BAR,0,,Sa,,Kubler,FRE,0,,,1,LYON,LYO,0,,Du,,Orban,LPZ,0,,,,,,,,,
2,UDINESE,UDI,0,,Du,,Clauss,BET,0,,,2,GENOA,GEN,2,,Du,,M Alonso,CEL,0,,,,,,,,,
FUNDASI,,,,,#N/A,,Bogle,LEE,0,,,FUNDASI,,,,,#N/A,,Guehi,CP,0,,,,,,,,,
3,Kubler,FRE,0,,Du,,Arrambari,GET,0,,,3,Orban,LPZ,0,,Vi,,Olise,BM,0,,,,,,,,,
4,Bogle,LEE,0,,Du,,McTomminay,NAP,0,,,4,Diakite,BOU,0,,Lu,,Sancet,BIL,0,,,,,,,,,
5,Ruibal,BET,0,,Lu,,Baumgartner,LPZ,0,,,5,Guehi,CP,0,,Du,,Haraldsson,LIL,1,,,,,,,,,
6,Clauss,NIC,0,,Du,,Rabiot,MIL,0,,,6,Peprah Oppong,NIC,0,,Du,,J Neves,PSG,0,,,,,,,,,
7,Vivian,BIL,0,,Du,,Balogun,MON,0,,,7,M Alonso,CEL,0,,Du,,Panichelli,STR,0,,,,,,,,,
MIJLOCASI,,,,,#N/A,,H Kane,BM,1,,,MIJLOCASI,,,,,#N/A,,Hojlund,NAP,0,,,,,,,,,
8,Doan,FRA,1,,Sa,,Orsolini,BOL,0,,,8,Olise,BM,0,,Du,,Raphinia,BAR,2,,,,,,,,,
9,McTomminay,NAP,0,,Du,PUNCTE,27,scor,1,0,,9,Sancet,BIL,0,,Du,PUNCTE,14,scor,3,0,,,,,,,,
10,Amiri,MAI,0,,Du, ,formula,343,,,,10,Haraldsson,LIL,1,,Du,,formula,343,,,,,,,,,,
11,Arrambari,GET,0,,Sa,,,,,,,11,J Neves,PSG,0,,Sa,,,,,,,,,,,,,
12,Rabiot,MIL,0,,Du,,,,,,,12,Pedri,BAR,0,,Sa,,,,,,,,,,,,,
13,Karabec,LYO,0,,Du,,,,,,,13,Zhegrova,JUV,0,,Du,,,,,,,,,,,,,
14,Baumgartner,LPZ,0,,Vi,,,,,,,14,Thielmann,KOL,0,,Sa,,,,,,,,,,,,,
ATACANTI,,,,,#N/A,,,,,,,ATACANTI,,,,,#N/A,,,,,,,,,,,,,
15,H Kane,BM,1,,Du,,,,,,,15,Raphinia,BAR,2,,Sa,,,,,,,,,,,,,
16,Schick,BL,0,,Sa,,,,,,,16,Soule,ROM,0,,Lu,,,,,,,,,,,,,
17,Orsolini,BOL,0,,Du,,,,,,,17,Mikautadze,VIL,0,,Du,,,,,,,,,,,,,
18,B Johnson,TOT,0,,Du,,,,,,,18,Hojlund,NAP,0,,Du,,,,,,,,,,,,,
19,Balogun,MON,0,,Du,,,,,,,19,Panichelli,STR,0,,Du,,,,,,,,,,,,,
20,Bulter,KOL,0,,Sa,,,,,,,20,Vardy,CRE,0,,Sa,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIGHTY MELONS,,N BADESCU,27,,0,,Etapa a 12-a,echipa,puncte,,,FC COJASCA ,,V PARCALABU,28,,0,,Etapa a 12-a,echipa,puncte,,,,,,,,,
PORTARI,,,,,,,FIORENTINA,FIO,,2,,PORTARI,,,,,,,ATLETICO M,AM,,1,,,,,,,,
1,BILBAO,BIL,2,,Du,,Schlotterbeck,DOR,0,,,1,ATLETICO M,AM,1,,Sa,,Grimaldo,BL,0,,,,,,,,,
2,FIORENTINA,FIO,2,,Du,,VV Dijk,LIV,0,,,2,MARSEILLE,OM,0,,Du,,De Cuyper,BRI,0,,,,,,,,,
FUNDASI,,,,,#N/A,,Mingueza,CEL,0,,,FUNDASI,,,,,#N/A,,Guerreiro,BM,0,,,,,,,,,
3,Dumfries,INT,0,,Du,,Pulisic,MIL,0,,,3,Grimaldo,BL,0,,Sa,,Schade,BRN,0,,,,,,,,,
4,VV Dijk,LIV,0,,Sa,,Moleiro,VIL,0,,,4,De Cuyper,BRI,0,,Sa,,Brandt,DOR,0,,,,,,,,,
5,Mingueza,CEL,0,,Du,,Tillman,BL,0,,,5,Guerreiro,BM,0,,Du,,Claude-Maurice,AUG,0,,,,,,,,,
6,Schlotterbeck,DOR,0,,Du,,Stage,WB,0,,,6,Marusic,LAZ,0,,Sa,,Cherki,MC,0,,,,,,,,,
7,R Gomes,WLV,0,,Sa,,Isak,LIV,0,,,7,Rudiger,RM,0,,Du,,Moffi,NIC,0,,,,,,,,,
MIJLOCASI,,,,,#N/A,,Mateta,CP,0,,,MIJLOCASI,,,,,#N/A,,Lewandowski,BAR,0,,,,,,,,,
8,Pulisic,MIL,0,,Du,,Nkunku,MIL,0,,,8,Schade,BRN,0,,Du,,M Thuram,INT,0,,,,,,,,,
9,Tillman,BL,0,,Sa,PUNCTE,27,scor,0,2,,9,Cherki,MC,0,,Du,PUNCTE,28,scor,0,1,,,,,,,,
10,Lo Celso,BET,0,,Lu,,formula,343,,,,10,Brandt,DOR,0,,Du,,formula,343,,,,,,,,,,
11,Stage,WB,0,,Du,,,,,,,11,Claude-Maurice,AUG,0,,Sa,,,,,,,,,,,,,
12,B Guimaraes,NEW,0,,Du,,,,,,,12,Hack,MNG,0,,Sa,,,,,,,,,,,,,
13,Rodri,MC,0,,Du,,,,,,,13,MacAllistair,LIV,0,,Sa,,,,,,,,,,,,,
14,Moleiro,VIL,0,,Du,,,,,,,14,Kimmich,BM,0,,Du,,,,,,,,,,,,,
ATACANTI,,,,,#N/A,,,,,,,ATACANTI,,,,,#N/A,,,,,,,,,,,,,
15,Isak,LIV,0,,Sa,,,,,,,15,Lewandowski,BAR,0,,Sa,,,,,,,,,,,,,
16,Mateta,CP,0,,Du,,,,,,,16,M Thuram,INT,0,,Du,,,,,,,,,,,,,
17,Emegha,STR,0,,Du,,,,,,,17,Sesko,MU,0,,Lu,,,,,,,,,,,,,
18,Marmoush,MC,0,,Du,,,,,,,18,Openda,JUV,0,,Du,,,,,,,,,,,,,
19,Nkunku,MIL,0,,Du,,,,,,,19,Moffi,NIC,0,,Du,,,,,,,,,,,,,
20,Oyarzabal,SOC,0,,Vi,,,,,,,20,Solanke,TOT,0,,Du,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAPID FETESTI,,P GROZEA,27,,3,,Etapa a 12-a,echipa,puncte,,,FC HERMANSTAR,,A IONITA,19,,1,,Etapa a 12-a,echipa,puncte,,,,,,,,,
PORTARI,,,,,,,CHELSEA,CHE,,0,,PORTARI,,,,,,,INTER M,INT,,1,,,,,,,,
1,CHELSEA,CHE,0,,Sa,,Ratiu,VLC,0,,,1,INTER M,INT,1,,Du,,Van de Ven,TOT,0,,,,,,,,,
2,NEWCASTLE,NEW,1,,Du,,Milenkovic,NOT,0,,,2,AS MONACO,MON,1,,Du,,Porro,TOT,0,,,,,,,,,
FUNDASI,,,,,#N/A,,Zehnter,WOL,0,,,FUNDASI,,,,,#N/A,,Cucurella,CHE,0,,,,,,,,,
3,Frimpong,LIV,0,,Sa,,Guller,RM,0,,,3,Cucurella,CHE,0,,Sa,,Paqueta,WH,0,,,,,,,,,
4,Ratiu,VLC,0,,Lu,,Tolisso,LYO,0,,,4,Porro,TOT,0,,Du,,E Fernandez,CHE,0,,,,,,,,,
5,Milenkovic,NOT,0,,Du,,Kaminski,KOL,0,,,5,Gusto,CHE,2,,Sa,,Vitinha,PSG,0,,,,,,,,,
6,Angelino,ROM,0,,Lu,,Kudus,TOT,0,,,6,Marquinhos,PSG,0,,Sa,,Casemiro,MU,1,,,,,,,,,
7,Zehnter,WOL,0,,Sa,,L Diaz,BM,0,,,7,Van de Ven,TOT,0,,Du,,Guirassy,DOR,0,,,,,,,,,
MIJLOCASI,,,,,#N/A,,L Martinez,INT,1,,,MIJLOCASI,,,,,#N/A,,Yamal,BAR,0,,,,,,,,,
8,Guller,RM,0,,Du,,Ekitike,LIV,2,,,8,Paqueta,WH,0,,Du,,I Thiago,BRN,0,,,,,,,,,
