TUNETUL FC,,A ISPAS,29,,3,,Etapa a 18-a,echipa,puncte,,,BOBA JUNIORS,,S BOBEICA,33,,3,,Etapa a 18-a,echipa,puncte,,,,,,,,,
PORTARI,,,,,,,MAN CITY,MC,,1,,PORTARI,,,,,,,PARIS SG,PSG,,0,,,,,,,,
1,MAN CITY,MC,1,,Du,,Chalobah,CHE,0,,,1,PARIS SG,PSG,0,,Du,,N Mendes,PSG,0,,,,,,,,,
2,FC KOLN,KOL,1,,Du,,Gabriel,ARS,0,,,2,LIVERPOOL,LIV,2,,Du,,Schlotterbeck,AUG,0,,,,,,,,,
FUNDASI,,,,,#N/A,,Timber,ARS,0,,,FUNDASI,,,,,#N/A,,Kristensen,FRA,0,,,,,,,,,
3,Bastoni,INT,0,,Du,,D Rice,ARS,0,,,3,Freeman,VIL,0,,Lu,,Akliouche,MON,0,,,,,,,,,
4,Timber,ARS,0,,Sa,,Tavernier,BOU,0,,,4,Kristensen,FRA,0,,Vi,,Reijnders,MC,0,,,,,,,,,
5,Gabriel,ARS,0,,Sa,,Fermin L,BAR,0,,,5,Schlotterbeck,AUG,0,,Sa,,H Traore,OM,0,,,,,,,,,
6,Chalobah,CHE,0,,Sa,,Caicedo,CHE,0,,,6,Dier,MON,0,,Du,,El Mala,KOL,0,,,,,,,,,
7,Cash,AV,0,,Sa,,I Sarr,CP,1,,,7,N Mendes,PSG,0,,Du,,Gyokeres,ARS,2,,,,,,,,,
MIJLOCASI,,,,,#N/A,,Saka,ARS,0,,,MIJLOCASI,,,,,#N/A,,Romulo,LPZ,0,,,,,,,,,
8,Anguissa,NAP,0,,Sa,,Kvaratschelia,PSG,1,,,8,Reijnders,MC,0,,Du,,Barcola,PSG,0,,,,,,,,,
9,F Nmecha,DOR,0,,Sa,PUNCTE,26,scor,2,1,,9,Akliouche,MON,0,,Du,PUNCTE,30,,2,0,,,,,,,,
10,Uche,CP,0,,Du,,formula,343,,,,10,A Santos,CHE,0,,Sa,,formula,343,,,,,,,,,,
11,Fermin L,BAR,0,,Sa,,,,,,,11,Jobe Bellingham,DOR,0,,Sa,,,,,,,,,,,,,
