BRITANICII,,D MOLAN,44,,3,,Etapa a 21-a,echipa,puncte,,,FC MUMU LU' TALPANU',,L MOLAN,35,,0,,Etapa a 21-a,echipa,puncte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Restante,Restante
PORTARI,,,,,,,ARSENAL,GET,,1,,PORTARI,,,,,,,LIVERPOOL,LIV,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ARSENAL,ARS,1,,Du,,Bogle,LEE,0,,,1,LIVERPOOL,LIV,2,,Sa,,Munoz,CP,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,GETAFE,GET,0,,Lu,,Raum,LPZ,0,,,2,SOCIEDAD,SOC,0,,Sa,,E Garcia,BAR,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FUNDASI,,,,,#N/A,,Kehrer,MON,0,,,FUNDASI,,,,,#N/A,,Clauss,NIC,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Gosens,FIO,0,,Lu,,Flemming,BUR,1,,,3,Munoz,CP,0,,Du,,Buendia,AV,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Raum,LPZ,0,,Du,,Tillman,BL,0,,,4,Abdi,NIC,0,,Du,,Mitoma,BRI,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Bogle,LEE,0,,Sa,,Soler,SOC,1,,,5,E Garcia,BAR,0,,Sa,,Pulisic,MIL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Krejci,WLV,0,,Vi,,Stage,WB,0,,,6,Clauss,NIC,0,,Du,,Musiala,BM,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Kehrer,MON,0,,Sa,,Endrick,LYO,0,,,7,J Tah,BM,0,,Sa,,Watkins,AV,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIJLOCASI,,,,,#N/A,,Raphinia,BAR,0,,,MIJLOCASI,,,,,#N/A,,Salah,LIV,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Wirtz,LIV,0,,Sa,,Welbeck,BRI,1,,,8,Pulisic,MIL,0,,Du,,Kalimuendo,FRA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Tillman,BL,0,,Sa,PUNCTE,41,scor,3,1,,9,Mitoma,BRI,0,,Du,PUNCTE,35,scor,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,A Toure,LH,0,,Sa,,formula,343,,,,10,Schade,BRN,1,,Sa,,formula,343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,D James,LEE,0,,Sa,,,,,,,11,Kudus,TOT,0,,Du,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Stage,WB,0,,Sa,,,,,,,12,Rabiot,MIL,0,,Du,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Soler,SOC,1,,Sa,,,,,,,13,Musiala,BM,0,,Sa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Flemming,BUR,1,,Sa,,,,,,,14,Buendia,AV,0,,Vi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATACANTI,,,,,#N/A,,,,,,,ATACANTI,,,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Raphinia,BAR,0,,Sa,,,,,,,15,Salah,LIV,0,,Sa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,J David,JUV,0,,Du,,,,,,,16,Watkins,AV,0,,Vi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Woltemade,NEW,0,,Sa,,,,,,,17,B Iglesias,CEL,0,,Du,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Welbeck,BRI,1,,Du,,,,,,,18,Kalimuendo,FRA,0,,Du,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Endrick,LYO,0,,Du,,,,,,,19,G Moreno,VIL,0,,Sa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Delap,CHE,0,,Du,,,,,,,20,Immobile,PRS,0,,Du,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLOBOZ,,A COSTEIU,38,,3,,Etapa a 21-a,echipa,puncte,,,THE CRYSTAL SHIP,,C ROSU,50,,3,,Etapa a 21-a,echipa,puncte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PORTARI,,,,,,,PARIS SG,PSG,,0,,PORTARI,,,,,,,ATLETICO M,AM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PARIS SG,PSG,0,,Sa,,A Paredes,BIL,0,,,1,ATLETICO M,AM,0,,Sa,,Zortea,BOL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,FIORENTINA,FIO,3,,Lu,,Schlotterbeck,AUG,0,,,2,BETIS,BET,2,,Du,,Dodo,FIO,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FUNDASI,,,,,#N/A,,Cubarsi,BAR,0,,,FUNDASI,,,,,#N/A,,C Augusto,INT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Schlotterbeck,AUG,0,,Vi,,Reijnders,MC,0,,,3,Angelino,ROM,0,,Du,,H Wilson,FUL,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,A Paredes,BIL,0,,Sa,,Gibbs-White,NOT,1,,,4,Dodo,FIO,0,,Lu,,Pedri,BAR,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Ait-Nouri,MC,0,,Sa,,Bellingham,RM,0,,,5,Zortea,BOL,0,,Lu,,Brandt,DOR,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Cubarsi,BAR,0,,Sa,,Kimmich,BM,1,,,6,C Augusto,INT,0,,Sa,,Zubimendi,ARS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Rudiger,RM,0,,Lu,,Yamal,BAR,3,,,7,Carvajal,RM,0,,Lu,,I Thiago,BRN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIJLOCASI,,,,,#N/A,,Berardi,SAS,0,,,MIJLOCASI,,,,,#N/A,,F Torres,BAR,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Bellingham,RM,0,,Lu,,Muriqi,MLL,0,,,8,Nebel,MAI,0,,Sa,,Semenyo,MC,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Reijnders,MC,0,,Sa,PUNCTE,35,scor,5,0,,9,Lo Celso,BET,0,,Du,PUNCTE,47,scor,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,O'Rilley,BRI,0,,Du,,formula,343,,,,10,Brandt,DOR,0,,Sa,,formula,343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Gibbs-White,NOT,1,,Du,,,,,,,11,Pedri,BAR,0,,Sa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Cristante,ROM,0,,Du,,,,,,,12,Zubimendi,ARS,0,,Du,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Kimmich,BM,1,,Sa,,,,,,,13,De Ketelaere,ATA,0,,Du,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Joelinton,NEW,0,,Sa,,,,,,,14,H Wilson,FUL,1,,Du,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATACANTI,,,,,#N/A,,,,,,,ATACANTI,,,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Yamal,BAR,3,,Sa,,,,,,,15,Lewandowski,BAR,1,,Sa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,G Orban,VER,0,,Sa,,,,,,,16,Budimir,OSA,0,,Du,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Mateta,CP,0,,Du,,,,,,,17,Orsolini,BOL,0,,Lu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
