TUNETUL FC,,A ISPAS,14,,0,,Etapa a 9-a,echipa,puncte,,,BOBA JUNIORS,,S BOBEICA,13,,3,,Etapa a 9-a,echipa,puncte,,,,,,,,,
PORTARI,,,,,,,MAN CITY,MC,,2,,PORTARI,,,,,,,PARIS SG,PSG,,0,,,,,,,,
1,MAN CITY,MC,2,,Sa,,Chalobah,CHE,0,,,1,PARIS SG,PSG,0,,Sa,,Gvardiol,MC,0,,,,,,,,,
2,FC KOLN,KOL,4,,Sa,,Gabriel,ARS,0,,,2,LIVERPOOL,LIV,3,,Sa,,Kristensen,FRA,0,,,,,,,,,
FUNDASI,,,,,#N/A,,Timber,ARS,0,,,FUNDASI,,,,,#N/A,,Schlotterbeck,AUG,0,,,,,,,,,
3,Bastoni,INT,0,,Du,,Anguissa,NAP,0,,,3,Gvardiol,MC,0,,Sa,,Akliouche,MON,0,,,,,,,,,
4,Timber,ARS,0,,Du,,Fermin L,BAR,1,,,4,Kristensen,FRA,0,,Sa,,Reijnders,MC,0,,,,,,,,,
5,Gabriel,ARS,0,,Du,,D Rice,ARS,0,,,5,Schlotterbeck,AUG,0,,Sa,,Honorat,MNG,0,,,,,,,,,
6,Chalobah,CHE,0,,Sa,,F Nmecha,DOR,0,,,6,Dier,MON,0,,Sa,,A Santos,CHE,0,,,,,,,,,
7,Cash,AV,0,,Du,,I Sarr,CP,0,,,7,N Mendes,PSG,0,,Sa,,Burkardt,FRA,2,,,,,,,,,
MIJLOCASI,,,,,#N/A,,Saka,ARS,0,,,MIJLOCASI,,,,,#N/A,,Romulo,LPZ,0,,,,,,,,,
8,Anguissa,NAP,0,,Sa,,Kvaratschelia,PSG,0,,,8,Reijnders,MC,0,,Sa,,Barcola,PSG,1,,,,,,,,,
9,F Nmecha,DOR,0,,Sa,PUNCTE,14,scor,1,2,,9,Akliouche,MON,0,,Sa,PUNCTE,10,,3,0,,,,,,,,
10,Uche,CP,0,,Sa,,formula,343,,,,10,A Santos,CHE,0,,Sa,,formula,343,,,,,,,,,,
11,Fermin L,BAR,1,,Sa,,,,,,,11,Jobe Bellingham,DOR,0,,Sa,,,,,,,,,,,,,
12,D Rice,ARS,0,,Du,,,,,,,12,Honorat,MNG,0,,Sa,,,,,,,,,,,,,
13,Caicedo,CHE,0,,Sa,,,,,,,13,H Traore,OM,0,,Vi,,,,,,,,,,,,,
14,Tavernier,BOU,0,,Sa,,,,,,,14,Milner,BRI,0,,Sa,,,,,,,,,,,,,
ATACANTI,,,,,#N/A,,,,,,,ATACANTI,,,,,#N/A,,,,,,,,,,,,,
15,J David,JUV,0,,Sa,,,,,,,15,Gyokeres,ARS,0,,Du,,,,,,,,,,,,,
16,Saka,ARS,0,,Du,,,,,,,16,Burkardt,FRA,2,,Sa,,,,,,,,,,,,,
17,Kramaric,HOF,0,,Vi,,,,,,,17,Barcola,PSG,1,,Sa,,,,,,,,,,,,,
18,I Sarr,CP,0,,Sa,,,,,,,18,A Perez,VIL,0,,Sa,,,,,,,,,,,,,
19,Ndiaye,EVE,0,,Lu,,,,,,,19,Romulo,LPZ,0,,Du,,,,,,,,,,,,,
20,Kvaratschelia,PSG,0,,Sa,,,,,,,20,Dovbyk,ROM,0,,Du,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCEI MAI BUNI,,A RADULESCU,18,,0,,Etapa a 9-a,echipa,puncte,,,FLAKERS UTD,,M CRACIUN,22,,3,,Etapa a 9-a,echipa,puncte,,,,,,,,,
PORTARI,,,,,,,BAYERN M,BM,,2,,PORTARI,,,,,,,JUVENTUS,JUV,,1,,,,,,,,
1,BAYERN M,BM,2,,Sa,,Del Prato,PAR,0,,,1,JUVENTUS,JUV,1,,Sa,,Dimarco,INT,0,,,,,,,,,
