BRITANICII,,D MOLAN,50,,3,,Etapa a 23-a,echipa,puncte,,,FC MUMU LU' TALPANU',,L MOLAN,39,,1,,Etapa a 23-a,echipa,puncte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Restante,Restante
PORTARI,,,,,,,ARSENAL,ARS,,0,,PORTARI,,,,,,,LIVERPOOL,LIV,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ARSENAL,ARS,0,,Sa,,Bogle,LEE,0,,,1,LIVERPOOL,LIV,1,,Du,,Munoz,CP,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,GETAFE,GET,1,,Sa,,Raum,LPZ,0,,,2,SOCIEDAD,SOC,1,,Du,,Abdi,NIC,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FUNDASI,,,,,#N/A,,Krejci,WLV,0,,,FUNDASI,,,,,#N/A,,Clauss,NIC,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Gosens,FIO,0,,Lu,,Flemming,BUR,0,,,3,Munoz,CP,0,,Du,,Buendia,AV,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Raum,LPZ,0,,Du,,Wirtz,LIV,0,,,4,Abdi,NIC,0,,Sa,,Schade,BRN,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Bogle,LEE,0,,Du,,Soler,SOC,0,,,5,E Garcia,BAR,0,,Du,,Pulisic,MIL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Krejci,WLV,0,,Lu,,Stage,WB,0,,,6,Clauss,NIC,0,,Sa,,Mitoma,BRI,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Kehrer,MON,0,,Sa,,Endrick,LYO,0,,,7,J Tah,BM,0,,Sa,,B Iglesias,CEL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIJLOCASI,,,,,#N/A,,Raphinia,BAR,3,,,MIJLOCASI,,,,,#N/A,,Salah,LIV,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Wirtz,LIV,0,,Du,,Welbeck,BRI,0,,,8,Pulisic,MIL,0,,Du,,Kalimuendo,FRA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
