TUNETUL FC,,A ISPAS,14,,3,,Etapa a 8-a,echipa,puncte,,,BOBA JUNIORS,,S BOBEICA,10,,0,,Etapa a 8-a,echipa,puncte,,,,,,,,,
PORTARI,,,,,,,MAN CITY,MC,,0,,PORTARI,,,,,,,LIVERPOOL,LIV,,3,,,,,,,,
1,MAN CITY,MC,0,,Du,,Chalobah,CHE,0,,,1,PARIS SG,PSG,2,,Du,,Gvardiol,MC,0,,,,,,,,,
2,FC KOLN,KOL,3,,Sa,,Gabriel,ARS,0,,,2,LIVERPOOL,LIV,3,,Du,,Kristensen,FRA,0,,,,,,,,,
FUNDASI,,,,,#N/A,,Timber,ARS,0,,,FUNDASI,,,,,#N/A,,Schlotterbeck,AUG,0,,,,,,,,,
3,Bastoni,INT,0,,Du,,Anguissa,NAP,0,,,3,Gvardiol,MC,0,,Du,,Akliouche,MON,0,,,,,,,,,
4,Timber,ARS,0,,Sa,,Fermin L,BAR,0,,,4,Kristensen,FRA,0,,Du,,Reijnders,MC,0,,,,,,,,,
5,Gabriel,ARS,0,,Sa,,D Rice,ARS,0,,,5,Schlotterbeck,AUG,0,,Du,,Honorat,MNG,0,,,,,,,,,
6,Chalobah,CHE,0,,Sa,,F Nmecha,DOR,0,,,6,Dier,MON,0,,Sa,,Jobe Bellingham,DOR,0,,,,,,,,,
7,Cash,AV,0,,Du,,I Sarr,CP,0,,,7,N Mendes,PSG,0,,Du,,Burkardt,FRA,0,,,,,,,,,
MIJLOCASI,,,,,#N/A,,Saka,ARS,1,,,MIJLOCASI,,,,,#N/A,,Romulo,LPZ,0,,,,,,,,,
8,Anguissa,NAP,0,,Du,,Kvaratschelia,PSG,1,,,8,Reijnders,MC,0,,Du,,Barcola,PSG,0,,,,,,,,,
9,F Nmecha,DOR,0,,Sa,PUNCTE,11,scor,2,0,,9,Akliouche,MON,0,,Sa,PUNCTE,10,,0,3,,,,,,,,
10,Uche,CP,0,,Du,,formula,343,,,,10,A Santos,CHE,0,,Sa,,formula,343,,,,,,,,,,
11,Fermin L,BAR,0,,Du,,,,,,,11,Jobe Bellingham,DOR,0,,Sa,,,,,,,,,,,,,
12,D Rice,ARS,0,,Sa,,,,,,,12,Honorat,MNG,0,,Sa,,,,,,,,,,,,,
13,Caicedo,CHE,0,,Sa,,,,,,,13,H Traore,OM,0,,Sa,,,,,,,,,,,,,
14,Tavernier,BOU,0,,Du,,,,,,,14,Milner,BRI,0,,Du,,,,,,,,,,,,,
ATACANTI,,,,,#N/A,,,,,,,ATACANTI,,,,,#N/A,,,,,,,,,,,,,
15,J David,JUV,0,,Sa,,,,,,,15,Gyokeres,ARS,0,,Sa,,,,,,,,,,,,,
16,Saka,ARS,1,,Sa,,,,,,,16,Burkardt,FRA,0,,Du,,,,,,,,,,,,,
17,Kramaric,HOF,0,,Sa,,,,,,,17,Barcola,PSG,0,,Du,,,,,,,,,,,,,
18,I Sarr,CP,0,,Du,,,,,,,18,A Perez,VIL,0,,Sa,,,,,,,,,,,,,
19,Ndiaye,EVE,0,,Sa,,,,,,,19,Romulo,LPZ,0,,Sa,,,,,,,,,,,,,
20,Kvaratschelia,PSG,1,,Du,,,,,,,20,Dovbyk,ROM,0,,Du,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCEI MAI BUNI,,A RADULESCU,18,,3,,Etapa a 8-a,echipa,puncte,,,FLAKERS UTD,,M CRACIUN,19,,3,,Etapa a 8-a,echipa,puncte,,,,,,,,,
PORTARI,,,,,,,BAYERN M,BM,,2,,PORTARI,,,,,,,JUVENTUS,JUV,,0,,,,,,,,
1,BAYERN M,BM,2,,Sa,,Del Prato,PAR,2,,,1,JUVENTUS,JUV,0,,Sa,,Dimarco,INT,0,,,,,,,,,
2,GETAFE,GET,1,,Du,,Calafiori,ARS,0,,,2,BOLOGNA,BOL,0,,Du,,Lacroix,CRY,0,,,,,,,,,
FUNDASI,,,,,#N/A,,F Doucoure,LH,0,,,FUNDASI,,,,,#N/A,,Koch,FRA,0,,,,,,,,,
3,F Doucoure,LH,0,,Sa,,Olmo,BAR,0,,,3,Dimarco,INT,0,,Du,,Bellingham,RM,0,,,,,,,,,
4,Yoro,MU,0,,Sa,,Zaccagni,LAZ,0,,,4,Zortea,BOL,0,,Du,,Palazon,VLC,0,,,,,,,,,
5,Calafiori,ARS,0,,Sa,,Sulc,LYO,0,,,5,Koch,FRA,0,,Du,,Eze,ARS,0,,,,,,,,,
6,Bertola,UDI,0,,Du,,Komur,AUG,0,,,6,Lacroix,CP,0,,Du,,Kebbal,PRS,0,,,,,,,,,
7,Del Prato,PAR,2,,Sa,,Evanilson,BOU,0,,,7,Di Lorenzo,NAP,0,,Du,,Salah,LIV,0,,,,,,,,,
MIJLOCASI,,,,,#N/A,,J Pedro,CHE,1,,,MIJLOCASI,,,,,#N/A,,Greenwood,OM,1,,,,,,,,,
8,Olmo,BAR,0,,Du,,Vinicius Jr,RM,0,,,8,Eze,ARS,0,,Sa,,Woltemade,NEW,0,,,,,,,,,
9,Zaccagni,LAZ,0,,Du,PUNCTE,15,scor,3,2,,9,Bellingham,RM,0,,Du,PUNCTE,16,scor,1,0,,,,,,,,
10,Sulc,LYO,0,,Du,,formula,343,,,,10,Grealish,EVE,0,,Sa,,formula,343,,,,,,,,,,
11,Odegaard,ARS,0,,Sa,,,,,,,11,Kebbal,PRS,0,,Vi,,,,,,,,,,,,,
12,El Aynaoui,ROM,0,,Du,,,,,,,12,O Bobb,MC,0,,Du,,,,,,,,,,,,,
13,Komur,AUG,0,,Du,,,,,,,13,Joelinton,NEW,0,,Du,,,,,,,,,,,,,
14,Collocolo,CRE,0,,Vi,,,,,,,14,Palazon,VLC,0,,Du,,,,,,,,,,,,,
