BRITANICII,,D MOLAN,10,,3,,Etapa a 4-a,echipa,puncte,,,FC MUMU LU' TALPANU',,L MOLAN,10,,3,,Etapa a 4-a,echipa,puncte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Restante,Restante
PORTARI,,,,,,,Arsenal,ARS,,0,,PORTARI,,,,,,,SOCIEDAD,SOC,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ARSENAL,ARS,0,,,,Gosens,FIO,0,,,1,LIVERPOOL,LIV,2,,,,Munoz,CP,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,GETAFE,GET,2,,,,Bogle,LEE,0,,,2,SOCIEDAD,SOC,1,,,,J Tah,BM,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FUNDASI,,,,,,,Krejci,WLV,0,,,FUNDASI,,,,,,,Clauss,NIC,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Gosens,FIO,0,,,,Wirtz,LIV,0,,,3,Munoz,CP,2,,,,Schade,BRN,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Struijk,LEE,0,,,,Tillman,BL,0,,,4,Abdi,NIC,0,,,,Rabiot,MIL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Bogle,LEE,0,,,,A Toure,LH,0,,,5,E Garcia,BAR,0,,,,Kudus,TOT,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Krejci,WLV,0,,,,Stage,WB,0,,,6,Clauss,NIC,0,,,,Pulisic,MIL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Kehrer,MON,0,,,,Gimenez,MIL,0,,,7,J Tah,BM,0,,,,Watkins,AV,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIJLOCASI,,,,,,,Woltemade,NEW,1,,,MIJLOCASI,,,,,,,Salah,LIV,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Wirtz,LIV,0,,,,Moffi,NIC,0,,,8,Pulisic,MIL,0,,,,Biereth,MON,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Tillman,BL,0,,,PUNCTE,7,scor,1,0,,9,Mitoma,BRI,0,,,PUNCTE,7,scor,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,A Toure,LH,0,,,,formula,343,,,,10,Schade,BRN,0,,,,formula,343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,D James,LEE,0,,,,,,,,,11,Kudus,TOT,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Stage,WB,0,,,,,,,,,12,Rabiot,MIL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Soler,SOC,0,,,,,,,,,13,Musiala,BM,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Fleming,BUR,0,,,,,,,,,14,Murphy,NEW,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
