TUNETUL FC,,A ISPAS,48,,1,,Etapa a 29-a,echipa,puncte,,,BOBA JUNIORS,,S BOBEICA,55,,0,,Etapa a 29-a,echipa,puncte,,,,,,,,,
PORTARI,,,,,,,MAN CITY,MC,,3,,PORTARI,,,,,,,PARIS SG,PSG,,2,,,,,,,,
1,MAN CITY,MC,3,,Lu,,Chalobah,CHE,0,,,1,PARIS SG,PSG,2,,Sa,,N Mendes,PSG,0,,,,,,,,,
2,FC KOLN,KOL,2,,Sa,,Gabriel,ARS,0,,,2,LIVERPOOL,LIV,3,,Du,,Schlotterbeck,AUG,0,,,,,,,,,
FUNDASI,,,,,#N/A,,Timber,ARS,0,,,FUNDASI,,,,,#N/A,,Freeman,VIL,0,,,,,,,,,
3,Bastoni,INT,0,,Du,,D Rice,ARS,0,,,3,Freeman,VIL,0,,Sa,,Reijnders,MC,0,,,,,,,,,
4,Timber,ARS,0,,Sa,,Tavernier,BOU,0,,,4,Kristensen,FRA,0,,Sa,,Akliouche,MON,0,,,,,,,,,
5,Gabriel,ARS,0,,Sa,,Fermin L,BAR,0,,,5,Schlotterbeck,AUG,0,,Sa,,El Mala,KOL,1,,,,,,,,,
6,Chalobah,CHE,0,,Lu,,Caicedo,CHE,0,,,6,Dier,MON,0,,Sa,,H Traore,OM,0,,,,,,,,,
7,Cash,AV,0,,Du,,Kramaric,HOF,2,,,7,N Mendes,PSG,0,,Sa,,Romulo,LPZ,0,,,,,,,,,
MIJLOCASI,,,,,#N/A,,Saka,ARS,1,,,MIJLOCASI,,,,,#N/A,,Barcola,PSG,0,,,,,,,,,
8,Anguissa,NAP,0,,Sa,,Kvaratschelia,PSG,0,,,8,Reijnders,MC,0,,Lu,,Burkardt,FRA,0,,,,,,,,,
9,F Nmecha,DOR,0,,Du,PUNCTE,47,scor,3,3,,9,Akliouche,MON,0,,Sa,PUNCTE,55,,1,2,,,,,,,,
10,Uche,CP,0,,Du,,formula,343,,,,10,A Santos,CHE,0,,Lu,,formula,343,,,,,,,,,,
11,Fermin L,BAR,0,,Sa,,,,,,,11,Jobe Bellingham,DOR,0,,Du,,,,,,,,,,,,,
12,D Rice,ARS,0,,Sa,,,,,,,12,Honorat,MNG,0,,Du,,,,,,,,,,,,,
13,Caicedo,CHE,0,,Lu,,,,,,,13,H Traore,OM,0,,Sa,,,,,,,,,,,,,
14,Tavernier,BOU,0,,Du,,,,,,,14,El Mala,KOL,1,,Sa,,,,,,,,,,,,,
ATACANTI,,,,,#N/A,,,,,,,ATACANTI,,,,,#N/A,,,,,,,,,,,,,
15,Trossard,ARS,0,,Sa,,,,,,,15,Gyokeres,ARS,2,,Sa,,,,,,,,,,,,,
16,Saka,ARS,1,,Sa,,,,,,,16,Burkardt,FRA,0,,Sa,,,,,,,,,,,,,
17,Kramaric,HOF,2,,Sa,,,,,,,17,Barcola,PSG,0,,Sa,,,,,,,,,,,,,
18,I Sarr,CP,0,,Du,,,,,,,18,A Perez,VIL,0,,Sa,,,,,,,,,,,,,
19,Undav,STU,0,,Sa,,,,,,,19,Romulo,LPZ,0,,Sa,,,,,,,,,,,,,
