TUNETUL FC,,A ISPAS,22,,1,,Etapa a 13-a,echipa,puncte,,,BOBA JUNIORS,,S BOBEICA,22,,3,,Etapa a 13-a,echipa,puncte,,,,,,,,,
17,N Williams,BIL,0,,Lu,,,,,,,17,Woltemade,NEW,2,,Sa,,,,,,,,,,,,,
18,Lookman,ATA,0,,Du,,,,,,,18,Berardi,SAS,0,,Du,,,,,,,,,,,,,
19,Evanilson,BOU,0,,Sa,,,,,,,19,Puado,ESP,0,,Lu,,,,,,,,,,,,,
20,Ilic,UB,0,,Sa,,,,,,,20,H Duro,VAL,1,,Vi,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FC TORPILA BUCURESTI,,R ENACHESCU,30,,0,,Etapa a 13-a,echipa,puncte,,,FC WIN MASTER,,B GHEORGHE,18,,1,,Etapa a 13-a,echipa,0,,,,,,,,,
PORTARI,,,,,,,Udinese,UDI,,5,,PORTARI,,,,,,,LYON,LYO,,3,,,,,,,,
1,BARCELONA,BAR,0,,Du,,Kubler,FRE,0,,,1,LYON,LYO,3,DA,Du,,Orban,LPZ,0,,,,,,,,,
2,UDINESE,UDI,5,,Du,,Clauss,BET,0,,,2,GENOA,GEN,1,,Du,,M Alonso,CEL,0,,,,,,,,,
FUNDASI,,,,,#N/A,,Bogle,LEE,0,,,FUNDASI,,,,,#N/A,,Guehi,CP,0,,,,,,,,,
3,Kubler,FRE,0,,Sa,,Amiri,MAI,0,,,3,Orban,LPZ,0,,Sa,,Olise,BM,1,,,,,,,,,
4,Bogle,LEE,0,,Sa,,McTomminay,NAP,0,,,4,Diakite,BOU,0,,Sa,,Sancet,BIL,0,,,,,,,,,
5,Ruibal,BET,4,,Du,,Baumgartner,LPZ,0,,,5,Guehi,CP,0,,Sa,,Haraldsson,LIL,0,,,,,,,,,
6,Clauss,NIC,0,DA,Du,,Doan,FRA,0,,,6,Peprah Oppong,NIC,0,NU,Du,,Pedri,BAR,0,,,,,,,,,
7,Vivian,BIL,0,,Lu,,Schick,LEV,1,,,7,M Alonso,CEL,0,,Sa,,Panichelli,STR,1,,,,,,,,,
