3,Schlotterbeck,AUG,0,,Du,,Reijnders,MC,R,,,3,Angelino,ROM,0,,Du,,H Wilson,FUL,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,A Paredes,BIL,0,,Du,,Gibbs-White,NOT,1,,,4,Dodo,FIO,0,,Du,,Nebel,MAI,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Ait-Nouri,MC,R,MC-CP,R,,Bellingham,RM,0,,,5,Zortea,BOL,0,,Du,,Brandt,DOR,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Cubarsi,BAR,0,,Du,,Kimmich,BM,0,,,6,C Augusto,INT,0,,Du,,Zubimendi,ARS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Rudiger,RM,0,,Du,,Yamal,BAR,0,,,7,Carvajal,RM,0,,Du,,I Thiago,BRN,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIJLOCASI,,,,,#N/A,,Berardi,SAS,0,,,MIJLOCASI,,,,,#N/A,,Budimir,OSA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Bellingham,RM,0,,Du,,Muriqi,MLL,0,,,8,Nebel,MAI,2,,Du,,Lewandowski,BAR,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Reijnders,MC,R,MC-CP,R,PUNCTE,42,scor,1,0,,9,Lo Celso,BET,0,,Du,PUNCTE,54,scor,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,O'Rilley,BRI,0,,Sa,,formula,343,,,,10,Brandt,DOR,0,,Sa,,formula,343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Gibbs-White,NOT,1,,Du,,,,,,,11,Pedri,BAR,0,,Du,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Cristante,ROM,0,,Du,,,,,,,12,Zubimendi,ARS,0,DA,Mi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Kimmich,BM,0,,Sa,,,,,,,13,De Ketelaere,ATA,0,,Du,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Joelinton,NEW,0,,Du,,,,,,,14,H Wilson,FUL,1,,Sa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
