12,El Aynaoui,ROM,0,,Du,,,,,,,12,O Bobb,FUL,0,,Sa,,,,,,,,,,,,,
13,Komur,AUG,0,,Du,,,,,,,13,Joelinton,NEW,0,,Du,,,,,,,,,,,,,
14,Doumbia,BRE,0,,Sa,,,,,,,14,Palazon,VLC,0,,Du,,,,,,,,,,,,,
ATACANTI,,,,,#N/A,,,,,,,ATACANTI,,,,,#N/A,,,,,,,,,,,,,
15,J Pedro,CHE,0,,Sa,,,,,,,15,Salah,LIV,0,,Sa,,,,,,,,,,,,,
16,Vinicius Jr,RM,2,,Du,,,,,,,16,Greenwood,OM,0,,Du,,,,,,,,,,,,,
17,N Williams,BIL,0,,Du,,,,,,,17,Woltemade,NEW,0,,Du,,,,,,,,,,,,,
18,Lookman,AM,1,,Du,,,,,,,18,Gakpo,LIV,0,,Sa,,,,,,,,,,,,,
19,Evanilson,BOU,0,,Vi,,,,,,,19,G Moreno,VIL,1,,Vi,,,,,,,,,,,,,
20,Tabakovic,MNG,0,,Sa,,,,,,,20,H Duro,VAL,1,,Sa,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FC TORPILA BUCURESTI,,R ENACHESCU,58,,3,,Etapa a 24-a,echipa,puncte,,,FC WIN MASTER,,B GHEORGHE,39,,3,,Etapa a 24-a,echipa,0,,,,,,,,,
PORTARI,,,,,,,Barcelona,BAR,,0,,PORTARI,,,,,,,LYON,LYO,,2,,,,,,,,
1,BARCELONA,BAR,0,,Du,,Bogle,LEE,0,,,1,LYON,LYO,2,,Du,,Orban,LPZ,0,,,,,,,,,
2,UDINESE,UDI,0,,Vi,,Clauss,NIC,0,,,2,GENOA,GEN,2,,Vi,,M Alonso,CEL,0,,,,,,,,,
FUNDASI,,,,,#N/A,,Ruibal,BET,0,,,FUNDASI,,,,,#N/A,,Guehi,CP,R,,,,,,,,,
3,Kubler,FRE,0,,Du,,Arrambari,GET,1,,,3,Orban,LPZ,0,,Vi,,Olise,BM,1,,,,,,,,,
4,Bogle,LEE,0,,Sa,,McTomminay,NAP,1,,,4,Diakite,BOU,0,,Vi,,I Kone,SAS,0,,,,,,,,,
5,Ruibal,BET,0,,Du,,Baumgartner,LPZ,2,,,5,Guehi,MC,R,MC-CP,R,,Haraldsson,LIL,0,,,,,,,,,
6,Clauss,NIC,0,,Sa,,Rabiot,MIL,1,,,6,Peprah Oppong,NIC,0,,Sa,,Pedri,BAR,0,,,,,,,,,
7,Vivian,BIL,2,,Du,,Balogun,MON,1,,,7,M Alonso,CEL,0,,Du,,Panichelli,STR,2,,,,,,,,,
MIJLOCASI,,,,,#N/A,,H Kane,BM,1,,,MIJLOCASI,,,,,#N/A,,Hojlund,NAP,0,,,,,,,,,
8,Nwaneri,OM,1,,Du,,Schick,BL,2,,,8,Olise,BM,1,,Sa,,Douvikas,COM,1,,,,,,,,,
