BRITANICII,,D MOLAN,47,,3,,Etapa a 22-a,echipa,puncte,,,FC MUMU LU' TALPANU',,L MOLAN,38,,3,,Etapa a 22-a,echipa,puncte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Restante,Restante
PORTARI,,,,,,,GETAFE,GET,,0,,PORTARI,,,,,,,LIVERPOOL,LIV,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ARSENAL,ARS,0,NU,Mi,,Bogle,LEE,0,,,1,LIVERPOOL,LIV,2,DA,Ma,,Munoz,CP,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,GETAFE,GET,0,,Du,,Raum,LPZ,0,,,2,SOCIEDAD,SOC,3,,Sa,,E Garcia,BAR,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FUNDASI,,,,,#N/A,,Krejci,WLV,0,,,FUNDASI,,,,,#N/A,,Clauss,NIC,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Gosens,FIO,0,,Du,,Flemming,BUR,0,,,3,Munoz,CP,0,DA,Jo,,Schade,BRN,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Raum,LPZ,0,,Sa,,Tillman,BL,0,,,4,Abdi,NIC,0,,Du,,Pulisic,MIL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Bogle,LEE,0,DA,Ma,,Soler,SOC,1,,,5,E Garcia,BAR,0,,Sa,,Musiala,BM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Krejci,WLV,0,DA,Ma,,Stage,WB,1,,,6,Clauss,NIC,0,,Du,,Buendia,AV,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Kehrer,MON,0,,Vi,,Endrick,LYO,0,,,7,J Tah,BM,0,,Vi,,Salah,LIV,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIJLOCASI,,,,,#N/A,,Raphinia,BAR,0,,,MIJLOCASI,,,,,#N/A,,B Iglesias,CEL,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Wirtz,LIV,0,NU,Ma,,Welbeck,BRI,0,,,8,Pulisic,MIL,0,,Du,,Kalimuendo,FRA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Tillman,BL,0,,Sa,PUNCTE,44,scor,2,0,,9,Mitoma,BRI,0,NU,Mi,PUNCTE,35,scor,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,A Toure,LH,0,,Du,,formula,343,,,,10,Schade,BRN,0,DA,Ma,,formula,343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,D James,LEE,0,NU,Ma,,,,,,,11,Kudus,TOT,0,NU,Jo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Stage,WB,1,,Du,,,,,,,12,Rabiot,MIL,0,,Du,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Soler,SOC,1,,Sa,,,,,,,13,Musiala,BM,1,,Vi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Flemming,BUR,0,DA,Ma,,,,,,,14,Buendia,AV,0,DA,Mi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATACANTI,,,,,#N/A,,,,,,,ATACANTI,,,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Raphinia,BAR,0,,Sa,,,,,,,15,Salah,LIV,1,DA,Ma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,J David,JUV,0,,Sa,,,,,,,16,Watkins,AV,0,NU,Mi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Woltemade,NEW,0,NU,Mi,,,,,,,17,B Iglesias,CEL,1,,Vi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Welbeck,BRI,0,DA,Mi,,,,,,,18,Kalimuendo,FRA,0,,Du,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Endrick,LYO,0,,Du,,,,,,,19,G Moreno,VIL,0,,Du,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
