BRITANICII,,D MOLAN,32,,0,,Etapa a 16-a,echipa,puncte,,,FC MUMU LU' TALPANU',,L MOLAN,32,,3,,Etapa a 16-a,echipa,puncte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Restante,Restante
MIJLOCASI,,,,,#N/A,,Giroud,LIL,0,,,MIJLOCASI,,,,,#N/A,,Lewandowski,BAR,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Bellingham,RM,0,,Sa,,Mateta,CP,0,,,8,Nebel,MAI,0,,Sa,,Semenyo,MC,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Reijnders,MC,0,,Sa,PUNCTE,24,scor,1,0,,9,Lo Celso,BET,0,,Du,PUNCTE,38,scor,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,O'Rilley,OM,0,,Sa,,formula,343,,,,10,Brandt,DOR,0,,Sa,,formula,343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Gibbs-White,NOT,0,,Du,,,,,,,11,Pedri,BAR,0,,Du,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Cristante,ROM,0,,Du,,,,,,,12,Goretzka,BM,0,,Sa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Kimmich,BM,0,,Sa,,,,,,,13,B Silva,MC,0,,Sa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Joelinton,NEW,0,,Du,,,,,,,14,F Ruiz,PSG,0,,Vi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATACANTI,,,,,#N/A,,,,,,,ATACANTI,,,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Yamal,BAR,1,,Du,,,,,,,15,Lewandowski,BAR,0,,Du,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Giroud,LIL,0,,Du,,,,,,,16,Budimir,OSA,1,,Sa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Mateta,CP,0,,Du,,,,,,,17,Orsolini,BOL,0,,Du,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Berardi,SAS,0,,Du,,,,,,,18,F Torres,BAR,0,,Du,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Kolo Muani,TOT,0,,Sa,,,,,,,19,Semenyo,MC,1,,Sa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Solanke,TOT,0,,Sa,,,,,,,20,I Thiago,BRN,0,,Du,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUBIN KAZAN,,R HOFBAUER,34,,3,,Etapa a 16-a,echipa,puncte,,,RAPID,,I FOCSANEANU,27,,1,,Etapa a 16-a,echipa,puncte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PORTARI,,,,,,,LAZIO,LAZ,,0,,PORTARI,,,,,,,REAL M,RM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AS ROMA,ROM,1,,Du,,VV Dijk,LIV,2,,,1,REAL M,RM,0,,Sa,,Orban,LPZ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,LAZIO,LAZ,0,,Sa,,P Porro,ARS,0,,,2,NEWCASTLE,NEW,2,,Du,,De Cuyper,BRI,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FUNDASI,,,,,#N/A,,Saliba,ARS,0,,,FUNDASI,,,,,#N/A,,Marusic,LAZ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,VV Dijk,LIV,2,,Sa,,Palmer,CHE,0,,,3,Orban,LPZ,0,,Sa,,Sancet,BIL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
