TUNETUL FC,,A ISPAS,25,,,,Etapa a 15-a,echipa,puncte,,,BOBA JUNIORS,,S BOBEICA,24,,1,,Etapa a 15-a,echipa,puncte,,,,,,,,,
18,Lookman,ATA,0,,Vi,,,,,,,18,Berardi,SAS,0,,Sa,,,,,,,,,,,,,
19,Evanilson,BOU,0,,Lu,,,,,,,19,Puado,ESP,0,,Vi,,,,,,,,,,,,,
20,Ilic,UB,0,,Du,,,,,,,20,H Duro,VAL,0,,Du,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FC TORPILA BUCURESTI,,R ENACHESCU,33,,,,Etapa a 15-a,echipa,puncte,,,FC WIN MASTER,,B GHEORGHE,21,,,,Etapa a 15-a,echipa,0,,,,,,,,,
PORTARI,,,,,,,Barcelona,BAR,,2,,PORTARI,,,,,,,LYON,LYO,,1,,,,,,,,
1,BARCELONA,BAR,2,,Du,,Kubler,FRE,0,,,1,LYON,LYO,1,,Du,,Orban,LPZ,0,,,,,,,,,
2,UDINESE,UDI,1,,Sa,,Clauss,NIC,0,,,2,GENOA,GEN,0,,Du,,M Alonso,CEL,0,,,,,,,,,
FUNDASI,,,,,#N/A,,Ruibal,BET,2,,,FUNDASI,,,,,#N/A,,Guehi,CP,0,,,,,,,,,
3,Kubler,FRE,0,,Du,,Amiri,MAI,0,,,3,Orban,LPZ,0,,Sa,,Olise,BM,1,,,,,,,,,
4,Bogle,LEE,0,,Sa,,McTomminay,NAP,0,,,4,Diakite,BOU,0,,Lu,,Sancet,BIL,0,,,,,,,,,
5,Ruibal,BET,2,,Sa,,Baumgartner,LPZ,0,,,5,Guehi,MC,0,,Sa,,Haraldsson,LIL,0,,,,,,,,,
6,Clauss,NIC,0,,Sa,,Rabiot,MIL,0,,,6,Peprah Oppong,NIC,0,,Sa,,Pedri,BAR,0,,,,,,,,,
7,Vivian,BIL,0,,Sa,,Orsolini,BOL,0,,,7,M Alonso,CEL,0,,Du,,Panichelli,STR,0,,,,,,,,,
MIJLOCASI,,,,,#N/A,,H Kane,BM,1,,,MIJLOCASI,,,,,#N/A,,Hojlund,NAP,0,,,,,,,,,
8,Doan,FRA,0,,Vi,,Balogun,MON,0,,,8,Olise,BM,1,,Sa,,Raphinia,BAR,0,,,,,,,,,
9,McTomminay,NAP,0,,Sa,PUNCTE,33,scor,3,2,,9,Sancet,BIL,0,,Sa,PUNCTE,21,scor,1,1,,,,,,,,
10,Amiri,MAI,0,,Sa, ,formula,343,,,,10,Haraldsson,LIL,0,,Vi,,formula,343,,,,,,,,,,
11,Arrambari,GET,0,,Du,,,,,,,11,J Neves,PSG,0,,Vi,,,,,,,,,,,,,
12,Rabiot,MIL,0,,Du,,,,,,,12,Pedri,BAR,0,,Du,,,,,,,,,,,,,
13,Karabec,LYO,0,,Du,,,,,,,13,Zhegrova,JUV,0,,Sa,,,,,,,,,,,,,
14,Baumgartner,LPZ,0,,Sa,,,,,,,14,Thielmann,KOL,0,,Sa,,,,,,,,,,,,,
ATACANTI,,,,,#N/A,,,,,,,ATACANTI,,,,,#N/A,,,,,,,,,,,,,
15,H Kane,BM,1,,Sa,,,,,,,15,Raphinia,BAR,0,,Du,,,,,,,,,,,,,
16,Schick,BL,0,,Sa,,,,,,,16,Soule,ROM,0,,Du,,,,,,,,,,,,,
17,Orsolini,BOL,0,,Du,,,,,,,17,Mikautadze,VIL,0,,Sa,,,,,,,,,,,,,
18,B Johnson,CP,0,,Sa,,,,,,,18,Hojlund,NAP,0,,Sa,,,,,,,,,,,,,
19,Balogun,MON,0,,Vi,,,,,,,19,Panichelli,STR,0,,Du,,,,,,,,,,,,,
20,Bulter,KOL,0,,Sa,,,,,,,20,Vardy,CRE,0,,Lu,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIGHTY MELONS,,N BADESCU,30,,0,,Etapa a 15-a,echipa,puncte,,,FC COJASCA ,,V PARCALABU,31,,,,Etapa a 15-a,echipa,puncte,,,,,,,,,
PORTARI,,,,,,,BILBAO,BIL,,3,,PORTARI,,,,,,,MARSEILLE,OM,,2,,,,,,,,
1,BILBAO,BIL,3,,Sa,,Schlotterbeck,DOR,0,,,1,ATLETICO M,AM,0,,Du,,Grimaldo,BL,0,,,,,,,,,
2,FIORENTINA,FIO,1,,Du,,VV Dijk,LIV,0,,,2,MARSEILLE,OM,2,,Sa,,De Cuyper,BRI,0,,,,,,,,,
FUNDASI,,,,,#N/A,,Mingueza,CEL,0,,,FUNDASI,,,,,#N/A,,Guerreiro,BM,0,,,,,,,,,
3,Dumfries,INT,0,,Sa,,Pulisic,MIL,0,,,3,Grimaldo,BL,0,,Sa,,Schade,BRN,0,,,,,,,,,
4,VV Dijk,LIV,0,,Sa,,Moleiro,VIL,0,,,4,De Cuyper,BRI,0,,Lu,,Brandt,DOR,1,,,,,,,,,
5,Mingueza,CEL,0,,Du,,Tillman,BL,0,,,5,Guerreiro,BM,0,,Sa,,Claude-Maurice,AUG,1,,,,,,,,,
6,Schlotterbeck,DOR,0,,Sa,,Stage,WB,1,,,6,Marusic,LAZ,0,,Lu,,Cherki,MC,0,,,,,,,,,
7,R Gomes,WLV,0,,Du,,B Guimaraes,NEW,0,,,7,Rudiger,RM,0,,Sa,,Openda,JUV,0,,,,,,,,,
MIJLOCASI,,,,,#N/A,,Mateta,CP,0,,,MIJLOCASI,,,,,#N/A,,Lewandowski,BAR,0,,,,,,,,,
8,Pulisic,MIL,0,,Du,,Oyarzabal,SOC,1,,,8,Schade,BRN,0,,Sa,,M Thuram,INT,0,,,,,,,,,
